DATE,TV,Radio,Newspaper,Sales
10-03-2006,31.5,24.6,2.2,11
11-03-2006,139.3,14.5,10.2,13.4
12-03-2006,237.4,27.5,11,18.9
13-03-2006,216.8,43.9,27.2,22.3
14-03-2006,199.1,30.6,38.7,18.3
15-03-2006,109.8,14.3,31.7,12.4
16-03-2006,26.8,33,19.3,8.8
17-03-2006,129.4,5.7,31.3,11
18-03-2006,213.4,24.6,13.1,17
19-03-2006,16.9,43.7,89.4,8.7
20-03-2006,27.5,1.6,20.7,6.9
21-03-2006,120.5,28.5,14.2,14.2
22-03-2006,5.4,29.9,9.4,5.3
23-03-2006,116,7.7,23.1,11
24-03-2006,76.4,26.7,22.3,11.8
25-03-2006,239.8,4.1,36.9,17.3
26-03-2006,75.3,20.3,32.5,11.3
27-03-2006,68.4,44.5,35.6,13.6
28-03-2006,213.5,43,33.8,21.7
29-03-2006,193.2,18.4,65.7,20.2
30-03-2006,76.3,27.5,16,12
31-03-2006,110.7,40.6,63.2,16
01-04-2006,88.3,25.5,73.4,12.9
02-04-2006,109.8,47.8,51.4,16.7
03-04-2006,134.3,4.9,9.3,14
04-04-2006,28.6,1.5,33,7.3
05-04-2006,217.7,33.5,59,19.4
06-04-2006,250.9,36.5,72.3,22.2
07-04-2006,107.4,14,10.9,11.5
08-04-2006,163.3,31.6,52.9,16.9
09-04-2006,197.6,3.5,5.9,16.7
10-04-2006,184.9,21,22,20.5
11-04-2006,289.7,42.3,51.2,25.4
12-04-2006,135.2,41.7,45.9,17.2
13-04-2006,222.4,4.3,49.8,16.7
14-04-2006,296.4,36.3,100.9,23.8
15-04-2006,280.2,10.1,21.4,19.8
16-04-2006,187.9,17.2,17.9,19.7
17-04-2006,238.2,34.3,5.3,20.7
18-04-2006,137.9,46.4,59,15
19-04-2006,25,11,29.7,7.2
20-04-2006,90.4,0.3,23.2,12
21-04-2006,13.1,0.4,25.6,5.3
22-04-2006,255.4,26.9,5.5,19.8
23-04-2006,225.8,8.2,56.5,18.4
24-04-2006,241.7,38,23.2,21.8
25-04-2006,175.7,15.4,2.4,17.1
26-04-2006,209.6,20.6,10.7,20.9
27-04-2006,78.2,46.8,34.5,14.6
28-04-2006,75.1,35,52.7,12.6
29-04-2006,139.2,14.3,25.6,12.2
30-04-2006,76.4,0.8,14.8,9.4
01-05-2006,125.7,36.9,79.2,15.9
02-05-2006,19.4,16,22.3,6.6
03-05-2006,141.3,26.8,46.2,15.5
04-05-2006,18.8,21.7,50.4,7
05-05-2006,224,2.4,15.6,16.6
06-05-2006,123.1,34.6,12.4,15.2
07-05-2006,229.5,32.3,74.2,19.7
08-05-2006,87.2,11.8,25.9,10.6
09-05-2006,7.8,38.9,50.6,6.6
10-05-2006,80.2,0,9.2,11.9
11-05-2006,220.3,49,3.2,24.7
12-05-2006,59.6,12,43.1,9.7
13-05-2006,0.7,39.6,8.7,1.6
14-05-2006,265.2,2.9,43,17.7
15-05-2006,8.4,27.2,2.1,5.7
16-05-2006,219.8,33.5,45.1,19.6
17-05-2006,36.9,38.6,65.6,10.8
18-05-2006,48.3,47,8.5,11.6
19-05-2006,25.6,39,9.3,9.5
20-05-2006,273.7,28.9,59.7,20.8
21-05-2006,43,25.9,20.5,9.6
22-05-2006,184.9,43.9,1.7,20.7
23-05-2006,73.4,17,12.9,10.9
24-05-2006,193.7,35.4,75.6,19.2
25-05-2006,220.5,33.2,37.9,20.1
26-05-2006,104.6,5.7,34.4,10.4
27-05-2006,96.2,14.8,38.9,12.3
28-05-2006,140.3,1.9,9,10.3
29-05-2006,240.1,7.3,8.7,18.2
30-05-2006,243.2,49,44.3,25.4
31-05-2006,38,40.3,11.9,10.9
01-06-2006,44.7,25.8,20.6,10.1
02-06-2006,280.7,13.9,37,16.1
03-06-2006,121,8.4,48.7,11.6
04-06-2006,197.6,23.3,14.2,16.6
05-06-2006,171.3,39.7,37.7,16
06-06-2006,187.8,21.1,9.5,20.6
07-06-2006,4.1,11.6,5.7,3.2
08-06-2006,93.9,43.5,50.5,15.3
09-06-2006,149.8,1.3,24.3,10.1
10-06-2006,11.7,36.9,45.2,7.3
11-06-2006,131.7,18.4,34.6,12.9
12-06-2006,172.5,18.1,30.7,16.4
13-06-2006,85.7,35.8,49.3,13.3
14-06-2006,188.4,18.1,25.6,19.9
15-06-2006,163.5,36.8,7.4,18
16-06-2006,117.2,14.7,5.4,11.9
17-06-2006,234.5,3.4,84.8,16.9
18-06-2006,17.9,37.6,21.6,8
19-06-2006,206.8,5.2,19.4,17.2
20-06-2006,215.4,23.6,57.6,17.1
21-06-2006,284.3,10.6,6.4,20
22-06-2006,50,11.6,18.4,8.4
23-06-2006,164.5,20.9,47.4,17.5
24-06-2006,19.6,20.1,17,7.6
25-06-2006,168.4,7.1,12.8,16.7
26-06-2006,222.4,3.4,13.1,16.5
27-06-2006,276.9,48.9,41.8,27
28-06-2006,248.4,30.2,20.3,20.2
29-06-2006,170.2,7.8,35.2,16.7
30-06-2006,276.7,2.3,23.7,16.8
01-07-2006,165.6,10,17.6,17.6
02-07-2006,156.6,2.6,8.3,15.5
03-07-2006,218.5,5.4,27.4,17.2
04-07-2006,56.2,5.7,29.7,8.7
05-07-2006,287.6,43,71.8,26.2
06-07-2006,253.8,21.3,30,17.6
07-07-2006,205,45.1,19.6,22.6
08-07-2006,139.5,2.1,26.6,10.3
09-07-2006,191.1,28.7,18.2,17.3
10-07-2006,286,13.9,3.7,20.9
11-07-2006,18.7,12.1,23.4,6.7
12-07-2006,39.5,41.1,5.8,10.8
13-07-2006,75.5,10.8,6,11.9
14-07-2006,17.2,4.1,31.6,5.9
15-07-2006,166.8,42,3.6,19.6
16-07-2006,149.7,35.6,6,17.3
17-07-2006,38.2,3.7,13.8,7.6
18-07-2006,94.2,4.9,8.1,14
19-07-2006,177,9.3,6.4,14.8
20-07-2006,283.6,42,66.2,25.5
21-07-2006,232.1,8.6,8.7,18.4
